"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/21/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"02/22/2023","AQS","410670005","1","0.2","ppm","2","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"02/23/2023","AQS","410670005","1","0.1","ppm","1","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"02/24/2023","AQS","410670005","1","0.1","ppm","1","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"02/25/2023","AQS","410670005","1","0.4","ppm","5","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"02/26/2023","AQS","410670005","1","0.4","ppm","5","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"02/27/2023","AQS","410670005","1","0.2","ppm","2","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"02/28/2023","AQS","410670005","1","0.6","ppm","7","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/01/2023","AQS","410670005","1","0.6","ppm","7","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/02/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/03/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/04/2023","AQS","410670005","1","0.2","ppm","2","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/05/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/06/2023","AQS","410670005","1","0.2","ppm","2","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/07/2023","AQS","410670005","1","0.2","ppm","2","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/08/2023","AQS","410670005","1","0.2","ppm","2","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/09/2023","AQS","410670005","1","0.1","ppm","1","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/10/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/11/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/12/2023","AQS","410670005","1","0.5","ppm","6","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/13/2023","AQS","410670005","1","0.2","ppm","2","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/14/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/15/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/16/2023","AQS","410670005","1","0.4","ppm","5","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/17/2023","AQS","410670005","1","0.4","ppm","5","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/18/2023","AQS","410670005","1","0.4","ppm","5","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/19/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/20/2023","AQS","410670005","1","0.2","ppm","2","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/21/2023","AQS","410670005","1","0.4","ppm","5","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/22/2023","AQS","410670005","1","0.5","ppm","6","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/23/2023","AQS","410670005","1","0.2","ppm","2","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/24/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/25/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/26/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/27/2023","AQS","410670005","1","0.4","ppm","5","Tualatin Bradbury Court (TBC) - Near Road Site","23","96.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/28/2023","AQS","410670005","1","0.2","ppm","2","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/29/2023","AQS","410670005","1","0.4","ppm","5","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/30/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"03/31/2023","AQS","410670005","1","0.2","ppm","2","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"04/01/2023","AQS","410670005","1","0.2","ppm","2","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"04/02/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"04/03/2023","AQS","410670005","1","0.2","ppm","2","Tualatin Bradbury Court (TBC) - Near Road Site","21","88.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"04/04/2023","AQS","410670005","1","0.2","ppm","2","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"04/05/2023","AQS","410670005","1","0.2","ppm","2","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"04/06/2023","AQS","410670005","1","0.1","ppm","1","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"04/07/2023","AQS","410670005","1","0.2","ppm","2","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"04/08/2023","AQS","410670005","1","0.4","ppm","5","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"04/09/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"04/10/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"04/11/2023","AQS","410670005","1","0.2","ppm","2","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"04/12/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"04/13/2023","AQS","410670005","1","0.4","ppm","5","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"04/14/2023","AQS","410670005","1","0.4","ppm","5","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"04/15/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
